latitude,longitude,api
3749176.1097357753,-10623926.107807616,42001003330000
3746603.18545743,-10678176.77108979,42001007590000
3749992.701085346,-10678509.839006245,42001007660000
3748933.8177267257,-10678951.22078724,42001007840000
3722227.0343747893,-10656151.319280416,42001013100000
3748253.6429849146,-10645850.815477822,42001300150000
3705380.8279980863,-10648491.31379944,42001300220000
,,42001303700000
3733584.2713232692,-10630869.772365337,42001308640000
3749796.021818025,-10678021.591719627,42001308950000
3705097.6055879644,-10646066.663970472,42001310840000
3753243.3557968554,-10622877.03292638,42001312690000
3750792.8253838145,-10624453.428235505,42001312890000
3740587.8064121716,-10680826.286290163,42001313170000
3751317.4850085685,-10623629.10740618,42001313300000
,,42001313340000
3753340.6738738883,-10624561.296822082,42001315610000
3754274.4164669514,-10624065.925088052,42001315800000
3753452.5512857293,-10624171.455965325,42001316070000
3749261.070422931,-10623840.280480213,42001316800000
3752091.5995906084,-10623228.357239323,42001317000000
3752680.054320933,-10623190.508612454,42001317200000
3750335.455147524,-10624250.270164805,42001317210000
3753847.4750424777,-10623340.789925026,42001317280000
3749949.431371567,-10624875.21778612,42001317360000
3752057.895787124,-10624873.325354775,42001317390000
3748915.9869051683,-10624445.858510131,42001317760000
3752999.5394263174,-10623038.557507522,42001317820000
3753977.720086877,-10622784.860388003,42001317910000
3753548.821776781,-10622286.26038874,42001317960000
3739031.013095238,-10677424.807929482,42001323960000
3710752.718767701,-10613301.107689362,42001325620000
3746255.425201074,-10665830.215046417,42001326120000
3742167.9934343607,-10667766.84022775,42001326130000
3714032.8660652176,-10613660.11304717,42001326390000
3744784.534940472,-10666820.067958552,42001326810000
3791231.2018110305,-11417762.985133994,42003000430000
3789838.469073969,-11418208.708375132,42003000440000
3815779.1948379073,-11446341.258768918,42003001110000
3814269.1699220263,-11446415.954147238,42003001120000
3815347.1557524223,-11446188.417108057,42003001130000
3814399.8096994264,-11445957.874442626,42003001140000
3814860.685588836,-11446086.003176527,42003001150000
3814730.0407546745,-11446543.97156165,42003001160000
3815188.9518921315,-11446671.655017592,42003001170000
3815649.8583314847,-11446799.783751493,42003001180000
3827775.896610507,-11414663.182593366,42003001730000
3827636.003599361,-11415209.427334689,42003001740000
3825570.1340559265,-11418802.597858513,42003002380000
3825113.7249786444,-11418691.167048229,42003002390000
3790404.0416339184,-11416395.536509091,42003002890000
3789013.3783499133,-11416076.049570514,42003002910000
3789890.828472119,-11416228.223314429,42003003000000
3790236.827238139,-11416815.656267343,42003003020000
3789542.3402061104,-11417494.37120271,42003003060000
3788824.4784618784,-11416423.255062299,42003003140000
3789141.900381596,-11417014.25023892,42003003170000
3789383.5571091473,-11416092.19089668,42003003750000
3790026.8587328787,-11415772.59263861,42003004050000
